Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
Hatchback,10,7984,85,1144,36,19.2,12.65,27,32,Good,High,8,No,50000-80000,51193.18121
Sedan,5,132389,86,1660,34,14.4,11.9,34,33,Good,High,4,No,25000-50000,32870.49381
SUV,10,158617,101,2588,26,10.9,12.43,43,31,Moderate,Low,11,No,25000-50000,25570.51858
SUV,5,54477,99,2762,39,10.3,11.89,29,29,Moderate,Medium,9,Yes,50000-80000,60574.83621
Sedan,3,122035,102,2146,41,13,12.09,44,36,Good,High,12,No,10000-25000,17854.02166
SUV,10,237754,101,1556,38,10.8,12.56,28,28,Good,Medium,7,Yes,50000-80000,65055.44462
SUV,5,220013,99,1944,33,12.1,12.35,43,35,Good,Medium,8,No,50000-80000,71690.60736
Truck,7,212121,110,1959,26,5,12.19,41,29,Good,High,5,No,3000-10000,6700.437575
Sedan,9,86770,84,1528,30,12.8,11.87,32,31,Good,Low,12,No,50000-80000,73482.41373
SUV,9,47560,97,846,37,10.5,12.01,34,29,Good,High,9,No,50000-80000,73952.12985
Sedan,8,96798,86,3099,31,16,12.45,44,34,Moderate,Medium,8,No,50000-80000,65274.61679
Hatchback,2,136689,87,2644,35,17.9,12.71,28,36,Good,Medium,2,Yes,50000-80000,51303.71889
Sedan,10,76983,93,2408,29,17.5,11.81,35,28,Critical,Low,5,No,25000-50000,35832.11578
SUV,12,12197,106,2751,29,12.6,11.87,32,36,Moderate,Medium,11,Yes,3000-10000,5344.352546
Hatchback,1,214586,86,1606,40,21.8,11.8,44,30,Good,Low,6,No,80000+,99415.57232
Truck,7,122391,114,2184,28,6.1,12.14,32,35,Moderate,Medium,8,No,10000-25000,19106.79713
Truck,5,222686,94,3283,33,4.4,12.44,31,32,Good,Low,7,No,50000-80000,52742.34052
SUV,3,238770,102,3072,37,12.2,11.96,33,35,Moderate,Medium,2,Yes,50000-80000,68835.65674
Sedan,12,49762,91,3129,36,13.1,12.58,27,31,Good,Medium,3,Yes,50000-80000,76966.08758
Truck,10,126381,109,2288,26,9.7,11.74,43,30,Good,Medium,11,No,3000-10000,5232.166426
Sedan,12,167118,97,2049,31,13.9,11.71,43,32,Critical,Low,11,Yes,3000-10000,9743.422678
Truck,7,247445,112,911,31,4.7,12.45,31,32,Good,High,6,No,3000-10000,4616.793788
Sedan,6,171157,101,1261,41,15.1,11.86,37,28,Good,High,8,No,25000-50000,26344.80825
Truck,7,23334,93,1297,20,5.1,12.19,39,32,Critical,High,7,Yes,0-3000,1281.705067
Truck,8,21825,97,1531,29,3.3,11.85,36,34,Critical,High,7,Yes,0-3000,1409.010458
Sedan,8,185349,86,2237,33,12.5,12.04,31,36,Worn,Medium,6,No,50000-80000,72851.80255
Hatchback,4,18681,88,3258,37,20.2,11.82,43,36,Moderate,Low,11,No,50000-80000,66242.37237
Sedan,9,48110,97,1249,40,14.3,11.73,38,34,Good,Medium,12,No,25000-50000,45484.87611
Truck,9,106170,104,3053,24,9.8,12.4,39,36,Worn,Medium,9,No,25000-50000,36001.32513
